No.,Server 맵,size,R/W,Name,DIGIT,설명,Data 형태,스케일
PCS#2,762,1,R,TotalDischargeyieldKilo,-1,Total Discharge yield (Kilo),U16,0.1
PCS#2,763,1,R,TotalDishargeyieldMega,-1,Total Disharge yield(Mega),U16,1
PCS#2,764,1,R,OperationStatus,-1,Operation Status,U16,1
PCS#2,765,1,R,Alarm1,-1,Alarm #1,U16,1
PCS#2,766,1,R,Alarm2,-1,Alarm #2,U16,1
PCS#2,767,1,R,InverterStatus,-1,Inverter Status,U16,1
PCS#2,768,1,R,Year,-1,Year,U16,1
PCS#2,769,1,R,Month,-1,Month,U16,1
PCS#2,770,1,R,Day,-1,Day,U16,1
PCS#2,771,1,R,Hour,-1,Hour,U16,1
PCS#2,772,1,R,Minute,-1,Minute,U16,1
PCS#2,773,1,R,Second,-1,Second,U16,1
PCS#3,900,2,R,MODBUSCounter,-1,MODBUS Counter,U32,1
PCS#3,902,2,R,BATPower,-1,BAT Power,U32,0.1
PCS#3,904,2,R,DCVoltageofPCSSide,-1,DC Voltage of PCS Side,U32,0.1
PCS#3,906,2,R,BATCurrent,-1,BAT Current,I32,1
PCS#3,908,2,R,DCVoltageofStorageSide,-1,DC Voltage of Storage Side,U32,0.1
PCS#3,910,2,R,Irradiation,-1, Irradiation ,U32,0.1
PCS#3,912,2,R,BATIsolationResistance,-1,BAT Isolation Resistance ,U32,0.1
PCS#3,914,2,R,ActivePower,-1,Grid Power,I32,0.1
PCS#3,916,2,R,GridVoltageR,-1,Grid Voltage R,U32,0.1
PCS#3,918,2,R,GridVoltageS,-1,Grid Voltage S,U32,0.1
PCS#3,920,2,R,GridVoltageT,-1,Grid Voltage T,U32,0.1
PCS#3,922,2,R,GridCurrentR,-1,Grid Current R,I32,0.01
PCS#3,924,2,R,GridCurrentS,-1,Grid Current S,I32,0.01
PCS#3,926,2,R,GridCurrentT,-1,Grid Current T,I32,0.01
PCS#3,928,2,R,GridFrequency,-1,Grid Frequency,U32,0.01
PCS#3,930,2,R,InverterTemperature,-1,Inverter Temperature,U32,0.1
PCS#3,932,2,R,CabinetTemperature,-1,Cabinet Temperature ,U32,0.1
PCS#3,934,2,R,reserved,-1,reserved,U32,0.1
PCS#3,936,2,R,InverterVoltageR,-1,Inverter Voltage R,U32,0.1
PCS#3,938,2,R,InverterVoltageS,-1,Inverter Voltage S,U32,0.1
PCS#3,940,2,R,InverterVoltageT,-1,Inverter Voltage T,U32,0.1
PCS#3,942,2,R,reserved,-1,reserved,U32,0.1
PCS#3,944,2,R,InverterCurrentR,-1,Inverter Current R,I32,0.1
PCS#3,946,2,R,InverterCurrentS,-1,Inverter Current S,I32,0.1
PCS#3,948,2,R,InverterCurrentT,-1,Inverter Current T,I32,0.1
PCS#3,960,1,R,TotalChargeyieldKilo,-1,Total Charge yield (Kilo),U16,0.1
PCS#3,961,1,R,TotalChargeyieldMega,-1,Total Charge yield(Mega) ,U16,1
PCS#3,962,1,R,TotalDischargeyieldKilo,-1,Total Discharge yield (Kilo),U16,0.1
PCS#3,963,1,R,TotalDishargeyieldMega,-1,Total Disharge yield(Mega),U16,1
PCS#3,964,1,R,OperationStatus,-1,Operation Status,U16,1
PCS#3,965,1,R,Alarm1,-1,Alarm #1,U16,1
PCS#3,966,1,R,Alarm2,-1,Alarm #2,U16,1
PCS#3,967,1,R,InverterStatus,-1,Inverter Status,U16,1
PCS#3,968,1,R,Year,-1,Year,U16,1
PCS#3,969,1,R,Month,-1,Month,U16,1
PCS#3,970,1,R,Day,-1,Day,U16,1
PCS#3,971,1,R,Hour,-1,Hour,U16,1
PCS#3,972,1,R,Minute,-1,Minute,U16,1
PCS#3,973,1,R,Second,-1,Second,U16,1
PCS#4,1100,2,R,MODBUSCounter,-1,MODBUS Counter,U32,1
PCS#4,1102,2,R,BATPower,-1,BAT Power,U32,0.1
PCS#4,1104,2,R,DCVoltageofPCSSide,-1,DC Voltage of PCS Side,U32,0.1
PCS#4,1106,2,R,BATCurrent,-1,BAT Current,I32,1
PCS#4,1108,2,R,DCVoltageofStorageSide,-1,DC Voltage of Storage Side,U32,0.1
PCS#4,1110,2,R,Irradiation,-1, Irradiation ,U32,0.1
PCS#4,1112,2,R,BATIsolationResistance,-1,BAT Isolation Resistance ,U32,0.1
PCS#4,1114,2,R,ActivePower,-1,Grid Power,I32,0.1
PCS#4,1116,2,R,GridVoltageR,-1,Grid Voltage R,U32,0.1
PCS#4,1118,2,R,GridVoltageS,-1,Grid Voltage S,U32,0.1
