PCS#4,BATIsolationResistance,1112,429496740
PCS#4,GridPower,1114,0
PCS#4,GridVoltageR,1116,387.1
PCS#4,GridVoltageS,1118,383.80002
PCS#4,GridVoltageT,1120,389.5
PCS#4,GridCurrentR,1122,0.95
PCS#4,GridCurrentS,1124,1.25
PCS#4,GridCurrentT,1126,0.88
PCS#4,GridFrequency,1128,59.989998
PCS#4,InverterTemperature,1130,31.1
PCS#4,CabinetTemperature,1132,37.3
PCS#4,reserved,1134,0
PCS#4,InverterVoltageR,1136,387.1
PCS#4,InverterVoltageS,1138,383.80002
PCS#4,InverterVoltageT,1140,389.5
PCS#4,reserved,1142,0
PCS#4,InverterCurrentR,1144,11.7
PCS#4,InverterCurrentS,1146,15.400001
PCS#4,InverterCurrentT,1148,10.8
PCS#4,TotalChargeyieldKilo,1160,917.10004
PCS#4,TotalChargeyieldMega,1161,30
PCS#4,TotalDischargeyieldKilo,1162,503.30002
PCS#4,TotalDishargeyieldMega,1163,29
PCS#4,OperationStatus,1164,6278
PCS#4,Alarm,1165,4
PCS#4,Alarm,1166,0
PCS#4,InverterStatus,1167,0
PCS#4,Year,1168,2020
PCS#4,Month,1169,4
PCS#4,Day,1170,23
PCS#4,Hour,1171,17
PCS#4,Minute,1172,3
PCS#4,Second,1173,34
BSC#1,SOC,1503,53.5
BSC#1,ChargeablePowerLimitOnlineRack,1504,59395
BSC#1,DischargeablePowerLimitOnlineRack,1505,59395
BSC#1,SOH,1506,100
BSC#1,SOC_MAX,1513,53.5
BSC#1,SOC_MIN,1513,53.5
BSC#1,CellSUMVoltAverageOnlineRack,1514,48924
BSC#1,CellSUMVoltMaxOnlineRack,1515,49180
BSC#1,CellSUMVoltMinOnlineRack,1516,48924
BSC#1,SOH_MAX,1523,100
BSC#1,SOH_MIN,1523,100
BSC#1,RackCurrentSUMOnlineRack,1524,57859
BSC#1,RackCurrentMaxOnlineRack,1525,61697
BSC#1,RackCurrentMinOnlineRack,1526,61697
BSC#1,AverageModuleTemp,1534,94
BSC#1,MaxModuleTemp,1534,97
BSC#1,MinModuleTemp,1535,89
BSC#1,CellAVGVoltageV,1543,43534
BSC#1,CellVoltMax,1544,45838
BSC#1,CellVoltMin,1545,40718
BSC#1,Event1,1553,0
BSC#1,Event2,1554,0
BSC#1,Event3,1555,0
BSC#1,Event4,1556,28160
BSC#2,SOC,2003,69
BSC#2,ChargeablePowerLimitOnlineRack,2004,59395
BSC#2,DischargeablePowerLimitOnlineRack,2005,59395
BSC#2,SOH,2006,100
BSC#2,SOC_MAX,2013,69
BSC#2,SOC_MIN,2013,69
BSC#2,CellSUMVoltAverageOnlineRack,2014,26141
BSC#2,CellSUMVoltMaxOnlineRack,2015,26397
BSC#2,CellSUMVoltMinOnlineRack,2016,26141
BSC#2,SOH_MAX,2023,100
BSC#2,SOH_MIN,2023,100
BSC#2,RackCurrentSUMOnlineRack,2024,0
BSC#2,RackCurrentMaxOnlineRack,2025,0
BSC#2,RackCurrentMinOnlineRack,2026,0
BSC#2,AverageModuleTemp,2034,95
BSC#2,MaxModuleTemp,2034,99
BSC#2,MinModuleTemp,2035,89
BSC#2,CellAVGVoltageV,2043,15
BSC#2,CellVoltMax,2044,1807
BSC#2,CellVoltMin,2045,61454
BSC#2,Event1,2053,0
BSC#2,Event2,2054,0
BSC#2,Event3,2055,0
BSC#2,Event4,2056,28160
BSC#3,SOC,2503,69
BSC#3,ChargeablePowerLimitOnlineRack,2504,59395
BSC#3,DischargeablePowerLimitOnlineRack,2505,59395
BSC#3,SOH,2506,100
BSC#3,SOC_MAX,2513,69
BSC#3,SOC_MIN,2513,69
BSC#3,CellSUMVoltAverageOnlineRack,2514,26397
BSC#3,CellSUMVoltMaxOnlineRack,2515,26397
BSC#3,CellSUMVoltMinOnlineRack,2516,26397
BSC#3,SOH_MAX,2523,100
BSC#3,SOH_MIN,2523,100
BSC#3,RackCurrentSUMOnlineRack,2524,0
BSC#3,RackCurrentMaxOnlineRack,2525,0
BSC#3,RackCurrentMinOnlineRack,2526,0
BSC#3,AverageModuleTemp,2534,94
BSC#3,MaxModuleTemp,2534,98
BSC#3,MinModuleTemp,2535,88
BSC#3,CellAVGVoltageV,2543,15
BSC#3,CellVoltMax,2544,2063
BSC#3,CellVoltMin,2545,61710
BSC#3,Event1,2553,0
BSC#3,Event2,2554,0
BSC#3,Event3,2555,0
BSC#3,Event4,2556,28160
BSC#4,SOC,3003,69
BSC#4,ChargeablePowerLimitOnlineRack,3004,59395
BSC#4,DischargeablePowerLimitOnlineRack,3005,59395
BSC#4,SOH,3006,100
BSC#4,SOC_MAX,3013,69
BSC#4,SOC_MIN,3013,69
BSC#4,CellSUMVoltAverageOnlineRack,3014,26909
BSC#4,CellSUMVoltMaxOnlineRack,3015,26909
BSC#4,CellSUMVoltMinOnlineRack,3016,26909
BSC#4,SOH_MAX,3023,100
BSC#4,SOH_MIN,3023,100
BSC#4,RackCurrentSUMOnlineRack,3024,0
BSC#4,RackCurrentMaxOnlineRack,3025,0
BSC#4,RackCurrentMinOnlineRack,3026,0
BSC#4,AverageModuleTemp,3034,92
BSC#4,MaxModuleTemp,3034,96
BSC#4,MinModuleTemp,3035,85
BSC#4,CellAVGVoltageV,3043,271
BSC#4,CellVoltMax,3044,2063
BSC#4,CellVoltMin,3045,62222
BSC#4,Event1,3053,0
BSC#4,Event2,3054,0
BSC#4,Event3,3055,0
BSC#4,Event4,3056,28160
